sample-id	Fraction	Genotype	Soil	Experiment	lowgermination	replant	Depth
syncomP89_160125	Inoculum	Inoculum		A			174312
syncomP89_160126	Inoculum	Inoculum		A			174312
GC92GC2_806rcbc360	Soil	Soil	MF21	GC2			121869
GC20GC1_806rcbc131	EC	pht1:1	MF21	GC1	20.0		31770
syncomP77_160126	Agar	Agar		A			112738
syncomP77_160125	Agar	Agar		A			112738
GC57GC2_806rcbc145	EC	pho2	MF21	GC2			72532
syncomP49_160125	Agar	Agar		A			150667
GC36GC2_806rcbc464	EC	phf1	MF21	GC2			85626
syncomP49_160126	Agar	Agar		A			150667
GC55GC1_806rcbc289	EC	pho2	MF21	GC1			96590
GC59GC2_806rcbc164	EC	pho2	MF21	GC2			67160
GC99GC2_806rcbc434	Soil	Soil	MF21	GC2			169117
GC60GC2_806rcbc465	EC	pho2	MF21	GC2			74950
GC63GC2_806rcbc165							
GC82GC1_806rcbc173	EC	phr1	MF21	GC1			37814
GC17GC2_806rcbc454	EC	pht1:1	MF21	GC2			50133
GC31GC1_806rcbc109	EC	phf1	MF21	GC1			108304
syncomP26_160126	Root	phf1		B			5183
syncomP26_160125	Root	phf1		B			5183
GC7GC2_806rcbc345	EC	Col	MF21	GC2			49664
GC79GC1_806rcbc108							
syncomP18_160125	Root	phr1/phl1		A			20159
syncomP18_160126	Root	phr1/phl1		A			20159
GC44GC1_806rcbc307	EC	nla	MF21	GC1			63953
GC66GC2_806rcbc136							
GC98GC1_806rcbc405	EC	SPX1/SPX2	MF21	GC1			24078
GC65GC2_806rcbc436							
GC110GC1_806rcbc330	Soil	Soil	MF21	GC1	110.0		212672
syncomP15_160125	Root	phf1		A			4130
syncomP15_160126	Root	phf1		A			4130
GC4GC1_806rcbc352	EC	Col	MF21	GC1			27781
GC11GC2_806rcbc108	EC	pht1:1	MF21	GC2			83658
GC29GC1_806rcbc312	EC	pht1:1/pht1:4	MF21	GC1			91436
GC74GC2_806rcbc401	EC	phr1	MF21	GC2			94428
syncomP84_160125	Agar	Agar		B			109010
syncomP84_160126	Agar	Agar		B			109010
GC7GC2_806rcbc153	EC	Col	MF21	GC2			49664
GC48GC1_806rcbc178	EC	nla	MF21	GC1			7114
GC4GC2_806rcbc450	EC	Col	MF21	GC2			90516
GC94GC1_806rcbc188	EC	SPX1/SPX2	MF21	GC1			24277
GC86GC1_806rcbc180							
syncomP44_160125	Agar	Agar		A			52905
syncomP44_160126	Agar	Agar		A			52905
GC69GC2_806rcbc432							
GC30GC2_806rcbc343	EC	pht1:1/pht1:4	MF21	GC2			69108
GC84GC2_806rcbc155	EC	SPX1/SPX2	MF21	GC2			107560
GC82GC1_806rcbc365	EC	phr1	MF21	GC1			37814
GC57GC1_806rcbc305	EC	pho2	MF21	GC1			7916
syncomP96_160126				Blank			25213
GC51GC2_806rcbc135	EC	pho2	MF21	GC2			81935
syncomP96_160125				Blank			25213
GC91GC2_806rcbc397	Soil	Soil	MF21	GC2			223301
GC80GC2_806rcbc315	EC	phr1	MF21	GC2			81073
GC31GC1_806rcbc447	EC	phf1	MF21	GC1			108304
GC23GC2_806rcbc295	EC	pht1:1/pht1:4	MF21	GC2			103243
syncomP68_160125	Agar	Agar		B			110863
syncomP68_160126	Agar	Agar		B			110863
syncomP56_160126	Agar	Agar		B			79325
syncomP56_160125	Agar	Agar		B			79325
GC56GC2_806rcbc359	EC	pho2	MF21	GC2			49955
GC107GC1_806rcbc162	Soil	Soil	MF21	GC1	107.0		240209
GC92GC2_806rcbc456	Soil	Soil	MF21	GC2			121869
GC104GC1_806rcbc390	Soil	Soil	MF21	GC1	104.0		70752
GC34GC2_806rcbc430	EC	phf1	MF21	GC2			81899
GC99GC1_806rcbc133							
GC6GC1_806rcbc368	EC	Col	MF21	GC1	6.0	2014-02-03	79875
GC24GC2_806rcbc122	EC	pht1:1/pht1:4	MF21	GC2			83310
GC8GC1_806rcbc132							
GC72GC1_806rcbc99							
syncomP39_160125	Root	phr1/phl1		B			26508
syncomP39_160126	Root	phr1/phl1		B			26508
GC12GC2_806rcbc127	EC	pht1:1	MF21	GC2			73797
GC21GC2_806rcbc309	EC	pht1:1/pht1:4	MF21	GC2			80795
GC87GC1_806rcbc151	EC	phr1	MF21	GC1			63863
GC57GC1_806rcbc113	EC	pho2	MF21	GC1			7916
GC11GC1_806rcbc130	EC	pht1:1	MF21	GC1	11.0		92153
GC44GC2_806rcbc333	EC	nla	MF21	GC2			100396
GC33GC2_806rcbc175	EC	phf1	MF21	GC2			89760
GC58GC2_806rcbc316	EC	pho2	MF21	GC2			58325
syncomP34_160125	Root	phf1		B			61369
syncomP34_160126	Root	phf1		B			61369
GC19GC2_806rcbc156	EC	pht1:1	MF21	GC2			55469
GC33GC1_806rcbc348							
GC51GC1_806rcbc369	EC	pho2	MF21	GC1			173254
GC8GC1_806rcbc324							
GC42GC2_806rcbc476	EC	nla	MF21	GC2			136215
GC9GC1_806rcbc331	EC	Col	MF21	GC1	9.0	2014-02-03	4054
syncomP1_160125	Root	Col-0		A			79038
syncomP1_160126	Root	Col-0		A			79038
GC38GC1_806rcbc123	EC	phf1	MF21	GC1			19921
GC99GC1_806rcbc325							
syncomP65_160125	Agar	Agar		A			166554
syncomP65_160126	Agar	Agar		A			166554
GC90GC1_806rcbc313	EC	phr1	MF21	GC1			21513
GC67GC2_806rcbc390							
GC24GC1_806rcbc148	EC	pht1:1/pht1:4	MF21	GC1			35288
GC85GC2_806rcbc173	EC	SPX1/SPX2	MF21	GC2			3957
GC52GC2_806rcbc129	EC	pho2	MF21	GC2			94083
GC8GC2_806rcbc323	EC	Col	MF21	GC2			88558
GC13GC2_806rcbc366	EC	pht1:1	MF21	GC2			76911
GC38GC1_806rcbc315	EC	phf1	MF21	GC1			19921
GC54GC1_806rcbc161	EC	pho2	MF21	GC1			35133
GC40GC1_806rcbc168							
syncomP35_160125	Root	phf1		B			40443
GC5GC2_806rcbc387	EC	Col	MF21	GC2			89372
syncomP35_160126	Root	phf1		B			40443
GC91GC2_806rcbc301	Soil	Soil	MF21	GC2			223301
GC20GC2_806rcbc125	EC	pht1:1	MF21	GC2			114653
GC83GC1_806rcbc298	EC	phr1	MF21	GC1			8552
GC86GC1_806rcbc372							
GC10GC2_806rcbc121	EC	Col	MF21	GC2			90835
syncomP64_160125	Agar	Agar		A			64111
syncomP64_160126	Agar	Agar		A			64111
GC85GC1_806rcbc154	EC	phr1	MF21	GC1			37699
GC64GC2_806rcbc335							
GC75GC1_806rcbc293							
GC107GC1_806rcbc354	Soil	Soil	MF21	GC1	107.0		240209
GC41GC2_806rcbc322	EC	nla	MF21	GC2			85567
syncomP69_160125	Agar	Agar		B			87781
syncomP69_160126	Agar	Agar		B			87781
GC110GC1_806rcbc426	Soil	Soil	MF21	GC1	110.0		212672
GC24GC2_806rcbc314	EC	pht1:1/pht1:4	MF21	GC2			83310
syncomP57_160126	Agar	Agar		B			149162
syncomP57_160125	Agar	Agar		B			149162
GC85GC2_806rcbc365	EC	SPX1/SPX2	MF21	GC2			3957
GC34GC2_806rcbc142	EC	phf1	MF21	GC2			81899
GC27GC1_806rcbc116	EC	pht1:1/pht1:4	MF21	GC1			52019
GC80GC2_806rcbc123	EC	phr1	MF21	GC2			81073
GC37GC1_806rcbc297							
GC35GC1_806rcbc111	EC	phf1	MF21	GC1			26633
syncomP38_160125	Root	phr1/phl1		B			32049
syncomP38_160126	Root	phr1/phl1		B			32049
GC53GC2_806rcbc393	EC	pho2	MF21	GC2			71706
GC91GC1_806rcbc335	EC	SPX1/SPX2	MF21	GC1			23075
GC74GC1_806rcbc296							
GC31GC1_806rcbc351	EC	phf1	MF21	GC1			108304
syncomP14_160125	Root	phf1		A			5761
GC47GC2_806rcbc96	EC	nla	MF21	GC2			52599
syncomP14_160126	Root	phf1		A			5761
GC65GC2_806rcbc148							
syncomP85_160125	Agar	Agar		B			138479
GC98GC2_806rcbc292	Soil	Soil	MF21	GC2			218115
syncomP85_160126	Agar	Agar		B			138479
GC87GC2_806rcbc128	EC	SPX1/SPX2	MF21	GC2			88292
GC48GC2_806rcbc440	EC	nla	MF21	GC2			29844
GC8GC2_806rcbc419	EC	Col	MF21	GC2			88558
syncomP45_160125	Agar	Agar		A			35469
syncomP45_160126	Agar	Agar		A			35469
GC78GC1_806rcbc292							
GC9GC2_806rcbc290	EC	Col	MF21	GC2			82889
GC14GC2_806rcbc115	EC	pht1:1	MF21	GC2			56504
syncomP88_160125	Inoculum	Inoculum		A			128429
syncomP88_160126	Inoculum	Inoculum		A			128429
GC44GC2_806rcbc429	EC	nla	MF21	GC2			100396
GC64GC1_806rcbc302							
GC99GC2_806rcbc146	Soil	Soil	MF21	GC2			169117
syncomP76_160126	Agar	Agar		A			104877
syncomP76_160125	Agar	Agar		A			104877
syncomP48_160125	Agar	Agar		A			69041
syncomP48_160126	Agar	Agar		A			69041
GC26GC2_806rcbc134	EC	pht1:1/pht1:4	MF21	GC2			110946
GC41GC2_806rcbc418	EC	nla	MF21	GC2			85567
GC102GC1_806rcbc318	Soil	Soil	MF21	GC1	102.0		305957
GC106GC1_806rcbc474	Soil	Soil	MF21	GC1	106.0		239342
syncomP27_160126	Root	phf1		B			20924
syncomP27_160125	Root	phf1		B			20924
