sample-id,absolute-filepath,direction
syncomP89,/work/gif3/sharu/Metagenomics/data/syncomP89_160125_R2.fastq.gz,reverse
syncomP89,/work/gif3/sharu/Metagenomics/data/syncomP89_160126_R1.fastq.gz,forward
GC92GC2,/work/gif3/sharu/Metagenomics/data/GC92GC2_806rcbc360_R2.fastq.gz,reverse
GC20GC1,/work/gif3/sharu/Metagenomics/data/GC20GC1_806rcbc131_R2.fastq.gz,reverse
syncomP77,/work/gif3/sharu/Metagenomics/data/syncomP77_160126_R2.fastq.gz,reverse
syncomP77,/work/gif3/sharu/Metagenomics/data/syncomP77_160125_R1.fastq.gz,forward
GC57GC2,/work/gif3/sharu/Metagenomics/data/GC57GC2_806rcbc145_R2.fastq.gz,reverse
syncomP49,/work/gif3/sharu/Metagenomics/data/syncomP49_160125_R1.fastq.gz,forward
GC36GC2,/work/gif3/sharu/Metagenomics/data/GC36GC2_806rcbc464_R1.fastq.gz,forward
syncomP49,/work/gif3/sharu/Metagenomics/data/syncomP49_160126_R2.fastq.gz,reverse
GC55GC1,/work/gif3/sharu/Metagenomics/data/GC55GC1_806rcbc289_R1.fastq.gz,forward
GC59GC2,/work/gif3/sharu/Metagenomics/data/GC59GC2_806rcbc164_R2.fastq.gz,reverse
GC99GC2,/work/gif3/sharu/Metagenomics/data/GC99GC2_806rcbc434_R1.fastq.gz,forward
GC60GC2,/work/gif3/sharu/Metagenomics/data/GC60GC2_806rcbc465_R1.fastq.gz,forward
GC63GC2,/work/gif3/sharu/Metagenomics/data/GC63GC2_806rcbc165_R1.fastq.gz,forward
GC82GC1,/work/gif3/sharu/Metagenomics/data/GC82GC1_806rcbc173_R1.fastq.gz,forward
GC17GC2,/work/gif3/sharu/Metagenomics/data/GC17GC2_806rcbc454_R2.fastq.gz,reverse
GC31GC1,/work/gif3/sharu/Metagenomics/data/GC31GC1_806rcbc109_R2.fastq.gz,reverse
syncomP26,/work/gif3/sharu/Metagenomics/data/syncomP26_160126_R2.fastq.gz,reverse
syncomP26,/work/gif3/sharu/Metagenomics/data/syncomP26_160125_R1.fastq.gz,forward
GC7GC2,/work/gif3/sharu/Metagenomics/data/GC7GC2_806rcbc345_R2.fastq.gz,reverse
GC79GC1,/work/gif3/sharu/Metagenomics/data/GC79GC1_806rcbc108_R1.fastq.gz,forward
syncomP18,/work/gif3/sharu/Metagenomics/data/syncomP18_160125_R1.fastq.gz,forward
syncomP18,/work/gif3/sharu/Metagenomics/data/syncomP18_160126_R2.fastq.gz,reverse
GC44GC1,/work/gif3/sharu/Metagenomics/data/GC44GC1_806rcbc307_R2.fastq.gz,reverse
GC66GC2,/work/gif3/sharu/Metagenomics/data/GC66GC2_806rcbc136_R2.fastq.gz,reverse
GC98GC1,/work/gif3/sharu/Metagenomics/data/GC98GC1_806rcbc405_R1.fastq.gz,forward
GC65GC2,/work/gif3/sharu/Metagenomics/data/GC65GC2_806rcbc436_R2.fastq.gz,reverse
GC110GC1,/work/gif3/sharu/Metagenomics/data/GC110GC1_806rcbc330_R1.fastq.gz,forward
syncomP15,/work/gif3/sharu/Metagenomics/data/syncomP15_160125_R2.fastq.gz,reverse
syncomP15,/work/gif3/sharu/Metagenomics/data/syncomP15_160126_R1.fastq.gz,forward
GC4GC1,/work/gif3/sharu/Metagenomics/data/GC4GC1_806rcbc352_R1.fastq.gz,forward
GC11GC2,/work/gif3/sharu/Metagenomics/data/GC11GC2_806rcbc108_R1.fastq.gz,forward
GC29GC1,/work/gif3/sharu/Metagenomics/data/GC29GC1_806rcbc312_R1.fastq.gz,forward
GC74GC2,/work/gif3/sharu/Metagenomics/data/GC74GC2_806rcbc401_R2.fastq.gz,reverse
syncomP84,/work/gif3/sharu/Metagenomics/data/syncomP84_160125_R1.fastq.gz,forward
syncomP84,/work/gif3/sharu/Metagenomics/data/syncomP84_160126_R2.fastq.gz,reverse
GC7GC2,/work/gif3/sharu/Metagenomics/data/GC7GC2_806rcbc153_R2.fastq.gz,reverse
GC48GC1,/work/gif3/sharu/Metagenomics/data/GC48GC1_806rcbc178_R2.fastq.gz,reverse
GC4GC2,/work/gif3/sharu/Metagenomics/data/GC4GC2_806rcbc450_R1.fastq.gz,forward
GC94GC1,/work/gif3/sharu/Metagenomics/data/GC94GC1_806rcbc188_R1.fastq.gz,forward
GC86GC1,/work/gif3/sharu/Metagenomics/data/GC86GC1_806rcbc180_R1.fastq.gz,forward
syncomP44,/work/gif3/sharu/Metagenomics/data/syncomP44_160125_R2.fastq.gz,reverse
syncomP44,/work/gif3/sharu/Metagenomics/data/syncomP44_160126_R1.fastq.gz,forward
GC69GC2,/work/gif3/sharu/Metagenomics/data/GC69GC2_806rcbc432_R2.fastq.gz,reverse
GC30GC2,/work/gif3/sharu/Metagenomics/data/GC30GC2_806rcbc343_R2.fastq.gz,reverse
GC84GC2,/work/gif3/sharu/Metagenomics/data/GC84GC2_806rcbc155_R1.fastq.gz,forward
GC82GC1,/work/gif3/sharu/Metagenomics/data/GC82GC1_806rcbc365_R1.fastq.gz,forward
GC57GC1,/work/gif3/sharu/Metagenomics/data/GC57GC1_806rcbc305_R2.fastq.gz,reverse
syncomP96,/work/gif3/sharu/Metagenomics/data/syncomP96_160126_R1.fastq.gz,forward
GC51GC2,/work/gif3/sharu/Metagenomics/data/GC51GC2_806rcbc135_R2.fastq.gz,reverse
syncomP96,/work/gif3/sharu/Metagenomics/data/syncomP96_160125_R2.fastq.gz,reverse
